Path,Name,N_Tracks
data/midi-classic-music/midiclassics/Hummel/Piano Method Pieces 1 to 20.mid,Piano Method Pieces 1 to 20.mid,1.0
data/midi-classic-music/midiclassics/Hummel/Piano Method Pieces 41 to 50.mid,Piano Method Pieces 41 to 50.mid,1.0
"data/midi-classic-music/midiclassics/Hummel/Piano Sonata in F sharp Opus.81, Mov.2.mid","Piano Sonata in F sharp Opus.81, Mov.2.mid",1.0
"data/midi-classic-music/midiclassics/Hummel/Piano Sonata, Opus.1, Mov.1.mid","Piano Sonata, Opus.1, Mov.1.mid",1.0
"data/midi-classic-music/midiclassics/Hummel/Piano Sonata, Opus.1, Mov.2.mid","Piano Sonata, Opus.1, Mov.2.mid",1.0
"data/midi-classic-music/midiclassics/Hummel/Piano Sonata, Opus.1, Mov.3.mid","Piano Sonata, Opus.1, Mov.3.mid",1.0
"data/midi-classic-music/midiclassics/Kuhlau/Sonatina in G major - Op. 20, No. 2.mid","Sonatina in G major - Op. 20, No. 2.mid",1.0
data/midi-classic-music/midiclassics/Liszt/Bagatelle Without Tonality.mid,Bagatelle Without Tonality.mid,1.0
data/midi-classic-music/midiclassics/Liszt/Benediction to god in solitude.mid,Benediction to god in solitude.mid,1.0
data/midi-classic-music/midiclassics/Liszt/Canzone.mid,Canzone.mid,1.0
data/midi-classic-music/midiclassics/Liszt/Dante Sonata.mid,Dante Sonata.mid,1.0
data/midi-classic-music/midiclassics/Liszt/Lamento.mid,Lamento.mid,1.0
data/midi-classic-music/midiclassics/Liszt/Liebestraume No 3.mid,Liebestraume No 3.mid,1.0
data/midi-classic-music/midiclassics/Liszt/Valse Oubliee No.1.mid,Valse Oubliee No.1.mid,1.0
data/midi-classic-music/midiclassics/Liszt/Valse Oubliee No.2.mid,Valse Oubliee No.2.mid,1.0
data/midi-classic-music/midiclassics/Liszt/Waldesrauschen.mid,Waldesrauschen.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.10.mid,Atalanta Fugiens No.10.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.11.mid,Atalanta Fugiens No.11.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.12.mid,Atalanta Fugiens No.12.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.13.mid,Atalanta Fugiens No.13.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.14.mid,Atalanta Fugiens No.14.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.16.mid,Atalanta Fugiens No.16.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.17.mid,Atalanta Fugiens No.17.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.18.mid,Atalanta Fugiens No.18.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.19.mid,Atalanta Fugiens No.19.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.20.mid,Atalanta Fugiens No.20.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.22.mid,Atalanta Fugiens No.22.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.23.mid,Atalanta Fugiens No.23.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.24.mid,Atalanta Fugiens No.24.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.25.mid,Atalanta Fugiens No.25.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.26.mid,Atalanta Fugiens No.26.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.27.mid,Atalanta Fugiens No.27.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.28.mid,Atalanta Fugiens No.28.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.29.mid,Atalanta Fugiens No.29.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.3.mid,Atalanta Fugiens No.3.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.30.mid,Atalanta Fugiens No.30.mid,1.0
data/midi-classic-music/midiclassics/Maier/Atalanta Fugiens No.31.mid,Atalanta Fugiens No.31.mid,1.0
