Path,Name,N_Tracks
data/midi-classic-music/midiclassics/Nicolai Overture The Merry Wives of Windsor.mid,Nicolai Overture The Merry Wives of Windsor.mid,26.0
data/midi-classic-music/midiclassics/Pachebel Toccata n1.mid,Pachebel Toccata n1.mid,2.0
data/midi-classic-music/midiclassics/Pachebel Toccata n2.mid,Pachebel Toccata n2.mid,2.0
data/midi-classic-music/midiclassics/Pachebel Toccata n3.mid,Pachebel Toccata n3.mid,2.0
data/midi-classic-music/midiclassics/Pachebel Toccata n4.mid,Pachebel Toccata n4.mid,3.0
data/midi-classic-music/midiclassics/Pachebel Toccata n7.mid,Pachebel Toccata n7.mid,3.0
data/midi-classic-music/midiclassics/Pollen Beguine Royale.mid,Pollen Beguine Royale.mid,27.0
data/midi-classic-music/midiclassics/Reger Burlesque op58 n3.mid,Reger Burlesque op58 n3.mid,4.0
data/midi-classic-music/midiclassics/Reger Burlesque op58 n5.mid,Reger Burlesque op58 n5.mid,4.0
data/midi-classic-music/midiclassics/Reger Burlesque op58 n6.mid,Reger Burlesque op58 n6.mid,4.0
data/midi-classic-music/midiclassics/Reinecke Piano Concerto n3 1mov.mid,Reinecke Piano Concerto n3 1mov.mid,22.0
data/midi-classic-music/midiclassics/Reinecke Piano Concerto n3 2mov.mid,Reinecke Piano Concerto n3 2mov.mid,18.0
data/midi-classic-music/midiclassics/Reinecke Piano Concerto n3 3mov.mid,Reinecke Piano Concerto n3 3mov.mid,20.0
data/midi-classic-music/midiclassics/Rimsky Korsakov ''Flight Of the Bumblebee''.mid,Rimsky Korsakov ''Flight Of the Bumblebee''.mid,1.0
data/midi-classic-music/midiclassics/Rothchild Horn Concerto Rmw16 1mov.mid,Rothchild Horn Concerto Rmw16 1mov.mid,14.0
data/midi-classic-music/midiclassics/Rothchild Horn Concerto Rmw16 2mov.mid,Rothchild Horn Concerto Rmw16 2mov.mid,6.0
data/midi-classic-music/midiclassics/Rothchild Horn Concerto Rmw16 3mov.mid,Rothchild Horn Concerto Rmw16 3mov.mid,9.0
